Date,TS1_S369,TS2_S372,TS3_S391,TS4_S426,TS5_S21642
7/14/2007,681.62,2829.36,1644.36,1729.89,2382.24
7/30/2007,660.46,2629.58,1604.33,1719.94,2057.03
8/14/2007,640.57,2501.81,1550.33,1700.91,1777.49
8/30/2007,627.49,2465.84,1523.84,1715.54,1506.35
9/14/2007,612.71,2467.32,1517.97,1718.78,1239.82
9/29/2007,622.94,2684.39,1507.40,1772.98,1024.19
10/14/2007,626.61,2981.62,1489.50,1763.81,838.23
10/30/2007,625.67,3078.25,1505.08,1754.55,792.35
11/14/2007,630.03,3130.32,1678.90,1735.11,1104.64
11/29/2007,618.85,3069.07,1600.50,1716.98,1426.20
12/14/2007,621.96,2949.01,1548.76,1679.80,1513.51
12/30/2007,587.82,2837.92,1653.62,1704.03,1478.86
1/14/2008,568.68,2736.30,1687.44,1697.20,1398.22
1/30/2008,555.40,2561.26,1655.98,1667.31,1505.83
2/14/2008,576.55,2544.73,1703.80,1636.87,1620.07
2/27/2008,589.57,2547.85,1747.88,1628.09,1584.25
3/14/2008,618.38,2503.30,1763.63,1593.69,1369.92
3/30/2008,630.46,2534.78,1645.15,1588.10,1175.91
4/14/2008,649.93,2578.21,1662.32,1693.92,1577.87
4/29/2008,638.53,2523.69,1678.41,1760.98,2098.58
5/14/2008,650.79,2511.03,1700.78,1843.99,2244.88
5/30/2008,633.00,2463.95,1768.00,1859.19,2156.60
6/14/2008,609.44,2405.36,1722.68,1795.99,1939.16
6/29/2008,605.75,2342.28,1640.19,1754.79,1611.97
7/14/2008,584.67,2285.36,1571.35,1698.96,1290.98
7/30/2008,570.48,2162.15,1528.13,1681.05,998.00
8/14/2008,561.69,2063.61,1491.33,1658.45,844.94
8/30/2008,543.76,2020.86,1435.91,1623.57,677.65
9/14/2008,538.52,2061.57,1401.22,1587.17,547.60
9/29/2008,607.00,2374.69,1368.05,1550.18,428.75
10/14/2008,653.21,2583.91,1302.79,1513.82,347.11
10/30/2008,682.83,2660.52,1306.22,1499.16,380.94
11/14/2008,696.04,2724.37,1310.80,1502.95,669.23
11/29/2008,682.89,2734.36,1342.46,1536.04,1366.92
12/14/2008,678.44,2710.84,1362.67,1572.68,1428.55
12/30/2008,653.89,2683.75,1476.52,1602.62,1385.93
1/14/2009,635.40,2646.91,1499.95,1621.56,1256.62
1/30/2009,618.81,2554.31,1513.42,1611.08,1023.83
2/14/2009,633.17,2533.62,1571.97,1592.92,806.08
2/27/2009,642.11,2530.27,1617.58,1578.89,640.21
3/14/2009,652.72,2515.19,1633.01,1536.32,484.18
3/30/2009,673.79,2528.26,1514.08,1491.89,339.67
4/14/2009,671.58,2497.12,1426.36,1490.79,259.99
4/29/2009,656.05,2492.25,1412.95,1549.38,337.13
5/14/2009,636.78,2404.82,1417.63,1629.13,721.69
5/30/2009,654.81,2387.25,1584.51,1721.46,997.81
6/14/2009,656.33,2410.21,1639.05,1771.39,976.68
6/29/2009,677.00,2394.49,1647.65,1791.09,890.18
7/14/2009,658.94,2359.08,1600.74,1763.16,736.06
7/30/2009,625.15,2279.00,1542.27,1717.13,564.97
8/14/2009,610.13,2239.09,1498.14,1708.83,426.28
8/30/2009,606.97,2177.09,1431.97,1679.66,301.53
9/14/2009,598.54,2193.60,1391.77,1653.34,210.90
9/29/2009,599.75,2137.16,1360.70,1612.72,135.28
10/14/2009,593.97,2079.13,1304.73,1565.91,82.11
10/30/2009,580.47,2018.07,1208.07,1515.75,261.80
11/14/2009,560.37,1965.71,1193.76,1456.04,543.92
11/29/2009,557.69,1924.91,1126.48,1420.34,643.79
12/14/2009,539.06,1831.65,1125.69,1377.52,981.11
12/30/2009,544.53,1764.26,1257.89,1382.46,1313.42
1/14/2010,582.58,1784.33,1424.75,1481.20,1584.73
1/30/2010,606.89,1874.35,1590.09,1571.20,1552.76
2/14/2010,676.98,2150.70,1707.07,1580.24,1409.71
2/27/2010,723.88,2371.76,1736.00,1556.38,1278.86
3/14/2010,759.27,2492.41,1771.55,1601.80,1712.50
3/30/2010,768.62,2632.26,1730.36,1626.37,2372.83
4/14/2010,789.08,2763.02,1792.70,1685.53,2941.21
4/29/2010,792.72,2781.26,1794.33,1681.55,3048.39
5/14/2010,770.85,2757.04,1782.59,1733.72,3166.83
5/30/2010,785.44,2866.31,1878.11,1819.54,3418.90
6/14/2010,752.25,2921.80,1837.07,1854.40,3340.82
6/29/2010,742.18,2871.53,1762.05,1828.56,3078.35
7/14/2010,718.57,2787.30,1701.80,1789.94,2707.83
7/30/2010,683.50,2680.76,1649.63,1752.18,2241.38
8/14/2010,691.47,2593.00,1628.87,1751.94,1839.10
8/30/2010,678.66,2526.59,1617.13,1699.59,1484.27
9/14/2010,705.83,2474.41,1617.81,1664.10,1284.68
9/29/2010,741.84,2496.19,1607.30,1669.55,1105.56
10/14/2010,819.16,2710.51,1549.77,1670.11,924.60
10/30/2010,845.31,2848.00,1511.78,1632.78,809.58
